Swedish_Lemma,English_Lemma,Chinese_Lemma,POS
jösses,good heavens,天哪,INTJ
gälla,apply,适用,VERB
tusan,damn,该死的,INTJ
helvete,hell,地狱,NOUN
arsle,ass,屁股,NOUN
jäkla,darn,该死的,ADJ
jäklar,darn,哎呀,INTJ
jävlar,damn,该死,INTJ
jävligt,damn,非常,ADV
jävel,devil,混蛋,NOUN
skit,shit,废话,NOUN
fan,devil,魔鬼,NOUN
avsnitt,episode,片段,NOUN
avundsjuk,envious,嫉妒的,ADJ
fria,propose,求婚,VERB
begrava,bury,埋葬,VERB
begravning,funeral,葬礼,NOUN
bekymmer,worry,担忧,NOUN
beroende,dependent,依赖的,ADJ
besvär,trouble,麻烦,NOUN
beteende,behavior,行为,NOUN
blodtryck,blood pressure,血压,NOUN
blödning,bleeding,出血,NOUN
lik,corpse,尸体,NOUN
byrå,desk,写字台,NOUN
bög,gay,同性恋者,NOUN
desperat,desperate,绝望的,ADJ
djup,depth,深度,NOUN
djävul,devil,魔鬼,NOUN
dock,however,然而,ADV
dold,hidden,隐藏的,ADJ
domare,judge,法官,NOUN
driva,drive,驱赶,VERB
dussin,dozen,一打,NOUN
dyka,dive,潜水,VERB
döma,judge,判决,VERB
ende,only,唯一的,ADJ
fegis,coward,懦夫,NOUN
fingeravtryck,fingerprint,指纹,NOUN
skott,shot,射击,NOUN
forskare,researcher,研究员,NOUN
forskning,research,研究,NOUN
framgång,success,成功,NOUN
slag,blow,打击,NOUN
fruktansvärd,terrible,可怕的,ADJ
främmande,foreign,外国的,ADJ
fuska,cheat,作弊,VERB
fånge,prisoner,囚犯,NOUN
föda,food,食物,NOUN
följd,consequence,后果,NOUN
svin,swine,猪,NOUN
förbannad,damned,该死的,ADJ
förbli,remain,保持,VERB
fördel,advantage,优势,NOUN
föreställa,imagine,想象,VERB
förhoppningsvis,hopefully,希望,ADV
förlust,loss,损失,NOUN
förmåga,ability,能力,NOUN
förstörd,destroyed,被毁坏的,ADJ
försvar,defense,防御,NOUN
försvara,defend,保卫,VERB
bomb,bomb,炸弹,NOUN
förvirrad,confused,困惑的,ADJ
geni,genius,天才,NOUN
givetvis,of course,当然,ADV
grav,grave,坟墓,NOUN
gripa,arrest,逮捕,VERB
grym,cruel,残忍的,ADJ
gråt,crying,哭泣,NOUN
handling,action,行动,NOUN
hopplös,hopeless,绝望的,ADJ
identitet,identity,身份,NOUN
idiotisk,idiotic,愚蠢的,ADJ
ignorera,ignore,忽视,VERB
ilska,anger,愤怒,NOUN
imponerad,impressed,印象深刻的,ADJ
imponerande,impressive,令人印象深刻的,ADJ
inbrott,break-in,入室盗窃,NOUN
ingå,be included,包含,VERB
inklusive,including,包括,ADP
inlåst,locked in,被锁住的,ADJ
inre,inner,内部的,ADJ
inspelning,recording,录音,NOUN
inuti,inside,在...里面,ADP
jakt,hunt,狩猎,NOUN
jude,Jew,犹太人,NOUN
judisk,Jewish,犹太的,ADJ
järnväg,railway,铁路,NOUN
jävlas,mess around,胡闹,VERB
kamp,struggle,斗争,NOUN
katastrof,disaster,灾难,NOUN
knark,drugs,毒品,NOUN
kokain,cocaine,可卡因,NOUN
komplicerad,complicated,复杂的,ADJ
konflikt,conflict,冲突,NOUN
kontrakt,contract,合同,NOUN
koppling,connection,连接,NOUN
korkad,stupid,愚蠢的,ADJ
korridor,corridor,走廊,NOUN
krav,requirement,要求,NOUN
kring,around,在…周围,ADP
krossa,crush,压碎,VERB
kula,bullet,子弹,NOUN
kvarter,block,街区,NOUN
käft,jaw,颌,NOUN
källa,source,来源,NOUN
känslig,sensitive,敏感的,ADJ
kön,sex,性别,NOUN
baklucka,trunk,后备箱,NOUN
lager,layer,层,NOUN
baklänges,backwards,向后,ADV
ledtråd,clue,线索,NOUN
licens,license,许可证,NOUN
lida,suffer,受苦,VERB
lokala,local,当地的,ADJ
bal,ball,舞会,NOUN
bedragare,swindler,骗子,NOUN
lysande,brilliant,杰出的,ADJ
bedrägeri,fraud,欺诈,NOUN
läcker,tasty,美味的,ADJ
