Dutch_Lemma,English_Lemma,Chinese_Lemma,POS
Duits,German,德国的,ADJ
Engels,English,英语的,ADJ
Japans,Japanese,日本的,ADJ
Spaans,Spanish,西班牙的,ADJ
aanbieding,special offer,特价,NOUN
aankleden,to dress,给…穿衣,VERB
aankomst,arrival,到达,NOUN
aantrekken,to put on,穿上,VERB
aardig,nice,友好的,ADJ
adem,breath,呼吸,NOUN
adres,address,地址,NOUN
afrekenen,to settle up,结账,VERB
afscheid,farewell,告别,NOUN
afval,waste,废物,NOUN
afvallen,to lose weight,减肥,VERB
agent,police officer,警察,NOUN
allebei,both,两者都,PRON
alweer,again,又,ADV
annuleren,to cancel,取消,VERB
antwoorden,to reply,回答,VERB
apotheek,pharmacy,药店,NOUN
appartement,apartment,公寓,NOUN
arm,poor,贫穷的,ADJ
arts,doctor,医生,NOUN
astronaut,astronaut,宇航员,NOUN
autoband,tire,轮胎,NOUN
automaat,vending machine,自动售货机,NOUN
baas,boss,老板,NOUN
baby,baby,婴儿,NOUN
bad,bath,洗澡,NOUN
bal,ball,球,NOUN
batterij,battery,电池,NOUN
been,leg,腿,NOUN
bekijken,to look at,观看,VERB
beneden,downstairs,楼下,ADV
benieuwd,curious,好奇的,ADJ
bestellen,to order,订购,VERB
bestelling,order,订单,NOUN
betekenen,to mean,意味着,VERB
bewegen,to move,移动,VERB
bezoeker,visitor,访客,NOUN
bezorgd,concerned,担心的,ADJ
bezorgen,to deliver,递送,VERB
bibliotheek,library,图书馆,NOUN
bier,beer,啤酒,NOUN
binnenkort,soon,不久,ADV
blauw,blue,蓝色的,ADJ
bloed,blood,血,NOUN
boeken,to book,预订,VERB
buitenland,abroad,国外,NOUN
bureau,desk,书桌,NOUN
chatten,to chat,聊天,VERB
collega,colleague,同事,NOUN
dame,lady,女士,NOUN
datum,date,日期,NOUN
dichtbij,near,附近,ADP
diep,deep,深的,ADJ
dier,animal,动物,NOUN
dik,thick,厚的,ADJ
dom,stupid,愚蠢的,ADJ
doorgeven,to pass on,转交,VERB
dorst,thirst,口渴,NOUN
draaien,to turn,转动,VERB
dromen,to dream,做梦,VERB
duren,to last,持续,VERB
duur,expensive,昂贵的,ADJ
echter,however,然而,ADV
eenvoudig,simple,简单的,ADJ
ervan,of it,关于它,ADV
excuses,apologies,道歉,NOUN
fantastisch,fantastic,极好的,ADJ
feestje,party,聚会,NOUN
fietsenmaker,bicycle repairer,修车匠,NOUN
fietspad,cycle path,自行车道,NOUN
file,traffic jam,交通堵塞,NOUN
formulier,form,表格,NOUN
fris,fresh,新鲜的,ADJ
garage,garage,车库,NOUN
gast,guest,客人,NOUN
geduld,patience,耐心,NOUN
geluid,sound,声音,NOUN
gemakkelijk,easy,容易的,ADJ
gemeen,mean,刻薄的,ADJ
genoeg,enough,足够的,ADJ
getal,number,数字,NOUN
getrouwd,married,已婚的,ADJ
gevaar,danger,危险,NOUN
gevaarlijk,dangerous,危险的,ADJ
gewicht,weight,重量,NOUN
gezellig,cozy,舒适的,ADJ
gezond,healthy,健康的,ADJ
gisteravond,last night,昨晚,ADV
glad,smooth,光滑的,ADJ
glimlach,smile,微笑,NOUN
golf,wave,波浪,NOUN
gooien,to throw,扔,VERB
gouden,golden,金色的,ADJ
gracht,canal,运河,NOUN
grap,joke,笑话,NOUN
grappig,funny,有趣的,ADJ
griep,flu,流感,NOUN
groeien,to grow,生长,VERB
groen,green,绿色的,ADJ
haan,rooster,公鸡,NOUN
haast,hurry,匆忙,NOUN
half,half,一半的,ADJ
hamer,hammer,锤子,NOUN
handig,handy,方便的,ADJ
hangen,to hang,悬挂,VERB
hap,bite,一口,NOUN
hard,hard,硬的,ADJ
hartelijk,heartfelt,衷心的,ADJ
hartelijk,warmly,热情地,ADV
held,hero,英雄,NOUN
helder,clear,清楚的,ADJ
helm,helmet,头盔,NOUN
hert,deer,鹿,NOUN
heuvel,hill,小山,NOUN
hoek,corner,角落,NOUN
hoeven,to need,需要,VERB
honderd,one hundred,一百,NUM
honger,hunger,饥饿,NOUN
hoofdpijn,headache,头痛,NOUN
hoofdstad,capital,首都,NOUN
hopelijk,hopefully,希望,ADV
houten,wooden,木制的,ADJ
huisarts,general practitioner,全科医生,NOUN
hè,hey,嘿,INTJ
ijskoud,ice cold,冰冷的,ADJ
ineens,suddenly,突然,ADV
inloggen,to log in,登录,VERB
jammer,pity,遗憾的,ADJ
kaal,bald,秃的,ADJ
kaars,candle,蜡烛,NOUN
kam,comb,梳子,NOUN
kamperen,to camp,露营,VERB
kapitein,captain,船长,NOUN
kapot,broken,破碎的,ADJ
kasteel,castle,城堡,NOUN
kelder,cellar,地下室,NOUN
ketting,chain,链条,NOUN
klagen,to complain,抱怨,VERB
klant,customer,顾客,NOUN
klap,blow,打击,NOUN
kleding,clothing,服装,NOUN
kleren,clothes,衣服,NOUN
klikken,to click,点击,VERB
knie,knee,膝盖,NOUN
koelkast,fridge,冰箱,NOUN
kom,bowl,碗,NOUN
koningin,queen,女王,NOUN
koorts,fever,发烧,NOUN
korting,discount,折扣,NOUN
koud,cold,冷的,ADJ
kraan,tap,水龙头,NOUN
kruis,cross,十字,NOUN
kust,coast,海岸,NOUN
kwaad,angry,生气的,ADJ
la,drawer,抽屉,NOUN
laag,low,低的,ADJ
laatst,last,最近的,ADJ
ladder,ladder,梯子,NOUN
landschap,landscape,风景,NOUN
langzaam,slow,慢的,ADJ
lastig,difficult,困难的,ADJ
leeg,empty,空的,ADJ
lelijk,ugly,丑的,ADJ
lengte,length,长度,NOUN
lepel,spoon,勺子,NOUN
letten,to pay attention,注意,VERB
letter,letter,字母,NOUN
lief,sweet,亲爱的,ADJ
liniaal,ruler,尺子,NOUN
link,link,链接,NOUN
lukken,to succeed,成功,VERB
lunchen,to have lunch,吃午餐,VERB
maag,stomach,胃,NOUN
maat,size,尺寸,NOUN
machine,machine,机器,NOUN
mailen,to email,发邮件,VERB
medicijn,medicine,药,NOUN
meid,girl,女孩,NOUN
merk,brand,品牌,NOUN
meter,meter,米,NOUN
mier,ant,蚂蚁,NOUN
mislukken,to fail,失败,VERB
misselijk,nauseous,恶心的,ADJ
missen,to miss,想念,VERB
modern,modern,现代的,ADJ
moe,tired,疲倦的,ADJ
motor,engine,发动机,NOUN
munt,coin,硬币,NOUN
muts,hat,帽子,NOUN
naakt,naked,裸的,ADJ
naald,needle,针,NOUN
nadenken,to think it over,思考,VERB
nagel,nail,指甲,NOUN
natuur,nature,自然,NOUN
negen,nine,九,NUM
nest,nest,巢,NOUN
neus,nose,鼻子,NOUN
niezen,to sneeze,打喷嚏,VERB
noot,nut,坚果,NOUN
ober,waiter,服务员,NOUN
omhoog,upwards,向上,ADV
onbekend,unknown,未知的,ADJ
onderweg,on the way,在路上,ADV
ongeluk,accident,事故,NOUN
onhandig,clumsy,笨拙的,ADJ
onmogelijk,impossible,不可能,ADJ
ontbijt,breakfast,早餐,NOUN
ontdekken,to discover,发现,VERB
onthouden,to remember,记住,VERB
onveilig,unsafe,不安全的,ADJ
onvriendelijk,unfriendly,不友好的,ADJ
onzin,nonsense,废话,NOUN
opgroeien,to grow up,长大,VERB
ophalen,to pick up,接,VERB
opletten,to pay attention,注意,VERB
oplossen,to solve,解决,VERB
opnemen,to record,录制,VERB
optie,option,选项,NOUN
opzoeken,to look up,查找,VERB
oranje,orange,橙色的,ADJ
organiseren,to organize,组织,VERB
ouder,older,更老的,ADJ
overkomen,to happen,发生,VERB
pak,suit,西装,NOUN
pan,pan,锅,NOUN
partner,partner,伴侣,NOUN
passen,to fit,适合,VERB
piano,piano,钢琴,NOUN
piloot,pilot,飞行员,NOUN
plafond,ceiling,天花板,NOUN
poes,cat,母猫,NOUN
poot,paw,爪子,NOUN
populair,popular,受欢迎的,ADJ
portemonnee,wallet,钱包,NOUN
postkantoor,post office,邮局,NOUN
prins,prince,王子,NOUN
privé,private,私人的,ADJ
project,project,项目,NOUN
raar,weird,奇怪的,ADJ
racen,to race,赛跑,VERB
reageren,to respond,回应,VERB
rechts,right,右,ADV
redden,to rescue,营救,VERB
rekening,bill,账单,NOUN
remmen,to brake,刹车,VERB
reserveren,to reserve,预订,VERB
rood,red,红色,ADJ
ruzie,quarrel,争吵,NOUN
schat,darling,亲爱的,NOUN
scherp,sharp,锋利的,ADJ
schieten,to shoot,射击,VERB
schijnen,to shine,照耀,VERB
schoon,clean,干净的,ADJ
schouder,shoulder,肩膀,NOUN
