Dutch_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
-lijk,-ly,地,PART,B2
een beetje,a bit,一点,ADV,B2
een beetje,a little,一点,ADJ,B2
gehuwd paar,a married couple,夫妇,NOUN,B2
een paar,a pair,一对,NUM,B2
een hoop,a pile,一堆,NUM,B2
put,a well,井,NOUN,B2
poos,a while,一会儿,NOUN,B2
verlaten,to abandon,放弃,VERB,B2
verlating,abandonment,抛弃,NOUN,B2
verachten,to abhor,憎恶,VERB,B2
vermogen,ability,能力,NOUN,B2
bekwaam,able,能够的,ADJ,B2
abnormaal,abnormal,异常的,ADJ,B2
abortus,abortion,流产,NOUN,B2
schuring,abrasion,擦伤,NOUN,B2
brutaal,abrupt,突然的,ADJ,B2
ontvluchten,to abscond,潜逃,VERB,B2
droomerigheid,absent-mindedness,心不在焉,NOUN,B2
volstrekt,absolutely,绝对地,ADV,B2
abstractie,abstraction,抽象,NOUN,B2
onbegrijpelijk,abstruse,深奥的,ADJ,B2
overvloed,abundance,丰富,NOUN,B2
overvloedig,abundant,丰富的,ADJ,B2
academicus,academic,学者,NOUN,B2
versnelling,acceleration,加速,NOUN,B2
versneller,accelerator,油门,NOUN,B2
aanvaarding,acceptance,接受,NOUN,B2
toetreding,accession,即位,NOUN,B2
per ongeluk,accidentally,意外地,ADV,B2
onderdak,accommodation,住宿,NOUN,B2
medeplichtige,accomplice,同谋,NOUN,B2
volbrengen,to accomplish,完成,VERB,B2
vooruitgaan,to advance,前进,VERB,B2
voorschot,advance payment,预付款,NOUN,B2
vervolgstudie,advanced study,深造,NOUN,B2
geavanceerd,advanced technology,先进,ADJ,B2
avonturier,adventurer,冒险家,NOUN,B2
tegenstander,adversary,对手,NOUN,B2
adverteren,to advertise,做广告,VERB,B2
reclame,advertising,广告业,NOUN,B2
afraden,to advise against,劝阻,VERB,B2
bepleiten,to advocate,提倡,VERB,B2
lucht,aerial,航空的,ADJ,B2
esthetisch,aesthetic,审美的,ADJ,B2
minzaam,affable,和蔼可亲的,ADJ,B2
feestzaal,affair hall,事殿,NOUN,B2
affectatie,affectation,做作,NOUN,B2
genegenheid,affection,喜爱,NOUN,B2
liefdevol,affectionate,深情的,ADJ,B2
filiaal,affiliate,附属机构,NOUN,B2
aansluiting,affiliation,隶属关系,NOUN,B2
bevestigen,to affirm,断言,VERB,B2
bebossing,afforestation,植树造林,NOUN,B2
achterkant,after,تلو,NOUN,B2
nawerking,aftereffect,后遗症，后果,NOUN,B2
later,afterward,去后,NOUN,B2
herhaling,again,你又,NOUN,B2
agressiviteit,aggressiveness,攻击性,NOUN,B2
wendbaar,agile,敏捷的,ADJ,B2
wendbaarheid,agility,敏捷,NOUN,B2
kwelling,agony,极度痛苦,NOUN,B2
vooruit,ahead,在前面,ADV,B2
richten,aim,目标,NOUN,B2
richten,to aim,瞄准,VERB,B2
luchtafweer,air defense,防空,NOUN,B2
wekker,alarm clock,闹钟,NOUN,B2
alarmeerend,alarming,令人担忧的,ADJ,B2
helaas,alas,唉,INTJ,B2
alcoholist,alcoholic,酗酒者,NOUN,B2
waarschuwing,alert,警觉的,ADJ,B2
algoritme,algorithm,算法,NOUN,B2
ontvreemding,alienation,异化,NOUN,B2
uitlijning,alignment,结盟,NOUN,B2
alimentatie,alimony,赡养费,NOUN,B2
alles,all,جميع,NOUN,B2
de hele dag,all day long,一整天,NOUN,B2
blijkbaar,allegedly,据称,ADV,B2
allergie,allergy,过敏,NOUN,B2
verbergingsmogelijkheid,allow hiding,许躲,NOUN,B2
toelage,allowance,津贴,NOUN,B2
toegestaan,allowed,被允许的,ADJ,B2
legering,alloy,合金,NOUN,B2
allusie,allusion,暗示,NOUN,B2
amandel,almond,杏仁,NOUN,B2
alleen,alone,独自,ADV,B2
samen met,along with,随着,ADP,B2
alfabetisch,alphabetical,按字母顺序的,ADJ,B2
goed,alright,好的,ADV,B2
ook nog,also too,也,ADV,B2
gewijzigde betekenis,altered meaning,改义,NOUN,B2
gewijzigd mechanisme,altered mechanism,改机,NOUN,B2
afwisselen,to alternate,交替,VERB,B2
afwisseling,alternation,轮流,NOUN,B2
verdovingsmiddel,anesthetic,麻醉剂,NOUN,B2
woede,anger,愤怒,NOUN,B2
hoek,angle,角度,NOUN,B2
smart,anguish,痛苦,NOUN,B2
animatiefilm,animated film,动画片,NOUN,B2
vijandigheid,animosity,敌意,NOUN,B2
enkel,ankle,脚踝,NOUN,B2
bijlage,annex,附件,NOUN,B2
vernietigen,to annihilate,消灭,VERB,B2
vernietiging,annihilation,寂灭,NOUN,B2
annoteren,to annotate,注释,VERB,B2
ergeren,to annoy,使恼怒,VERB,B2
