Spanish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
mente,-ly,地,PART,B2
un poco,a bit,一点,ADV,B2
un poco,a little,一点,ADJ,B2
pareja casada,a married couple,夫妇,NOUN,B2
par,a pair,一对,NUM,B2
pila,a pile,一堆,NUM,B2
pozo,a well,井,NOUN,B2
rato,a while,一会儿,NOUN,B2
capacidad,ability,能力,NOUN,B2
capaz,able,能够的,ADJ,B2
anormal,abnormal,异常的,ADJ,B2
sobre,about,关于,ADP,B2
arriba,above,在...之上,ADP,B2
abrasión,abrasion,擦伤,NOUN,B2
extranjero,abroad,国外,NOUN,B2
huir,to abscond,潜逃,VERB,B2
absoluto,absolute,绝对的,ADJ,B2
abusar,to abuse,滥用,VERB,B2
académico,academic,学术的,ADJ,B2
aceleración,acceleration,加速,NOUN,B2
acelerador,accelerator,油门,NOUN,B2
aceptación,acceptance,接受,NOUN,B2
accesión,accession,即位,NOUN,B2
accidentalmente,accidentally,意外地,ADV,B2
lograr,to accomplish,完成,VERB,B2
conformidad,accord with,合乎,NOUN,B2
según,according to,根据,ADP,B2
cuenta,account,账户,NOUN,B2
responsabilidad,accountability,问责制,NOUN,B2
contable,accountant,会计师,NOUN,B2
contabilidad,accounting,会计,NOUN,B2
ventajoso,advantageous,有利的,ADJ,B2
anunciar,to advertise,做广告,VERB,B2
publicidad,advertising,广告业,NOUN,B2
abogar,to advocate,提倡,VERB,B2
aéreo,aerial,航空的,ADJ,B2
asunto,affair,事务,NOUN,B2
salón de eventos,affair hall,事殿,NOUN,B2
afiliado,affiliate,附属机构,NOUN,B2
forestación,afforestation,植树造林,NOUN,B2
después de,after,在...之后,ADP,B2
después de todo,after all,毕竟,ADV,B2
después de eso,after that,此后,ADV,B2
después de lo cual,after which,之后,ADV,B2
secuela,aftereffect,后遗症，后果,NOUN,B2
tarde,afternoon,下午,NOUN,B2
posterioridad,afterward,去后,NOUN,B2
después,afterwards,后来,ADV,B2
repetición,again,再次,ADV,B2
agente,agent,代理人,NOUN,B2
agresividad,aggressiveness,攻击性,NOUN,B2
ágil,agile,敏捷的,ADJ,B2
agrícola,agricultural,农业的,ADJ,B2
agricultura,agriculture,农业,NOUN,B2
adelante,ahead,在前面,ADV,B2
apuntar,aim,目标,NOUN,B2
apuntar,to aim,瞄准,VERB,B2
defensa aérea,air defense,防空,NOUN,B2
avión,airplane,飞机,NOUN,B2
alarmante,alarming,令人担忧的,ADJ,B2
ay,alas,唉,INTJ,B2
álbum,album,相册,NOUN,B2
alcohol,alcohol,酒精,NOUN,B2
alcohólico,alcoholic,酗酒者,NOUN,B2
alerta,alert,警报,NOUN,B2
álgebra,algebra,代数,NOUN,B2
algoritmo,algorithm,算法,NOUN,B2
extraterrestre,alien,外星人,NOUN,B2
alienación,alienation,异化,NOUN,B2
alineación,alignment,结盟,NOUN,B2
pensión alimenticia,alimony,赡养费,NOUN,B2
todo,all,全部,ADV,B2
todo el día,all day long,一整天,NOUN,B2
presuntamente,allegedly,据称,ADV,B2
alérgico,allergic,过敏的,ADJ,B2
permiso de ocultación,allow hiding,许躲,NOUN,B2
asignación,allowance,津贴,NOUN,B2
permitido,allowed,被允许的,ADJ,B2
aleación,alloy,合金,NOUN,B2
alusión,allusion,暗示,NOUN,B2
junto con,along with,随着,ADP,B2
alfabético,alphabetical,按字母顺序的,ADJ,B2
bien,alright,好的,ADV,B2
también,also too,也,ADV,B2
significado alterado,altered meaning,改义,NOUN,B2
mecanismo alterado,altered mechanism,改机,NOUN,B2
alternancia,alternation,轮流,NOUN,B2
aluminio,aluminum,铝,NOUN,B2
