French_Lemma,English_Lemma,Chinese_Lemma,POS
abri,shelter,庇护所,NOUN
abîmer,to damage,损坏,VERB
accompagner,to accompany,陪伴,VERB
accorder,to grant,给予,VERB
accueillant,welcoming,好客的,ADJ
accès,access,进入,NOUN
accélérer,to accelerate,加速,VERB
acheteur,buyer,买家,NOUN
acide,acid,酸的,ADJ
acte,act,行为,NOUN
actif,active,活跃的,ADJ
actualité,current events,时事,NOUN
admirer,to admire,钦佩,VERB
adolescent,teenager,青少年,NOUN
adopter,to adopt,收养,VERB
adresser,to address,致辞,VERB
affiche,poster,海报,NOUN
agir,to act,行动,VERB
alerte,alert,警报,NOUN
aliment,foodstuff,食物,NOUN
alimentation,food,食物,NOUN
allergie,allergy,过敏,NOUN
amical,friendly,友好的,ADJ
amitié,friendship,友谊,NOUN
amoureux,in love,恋爱的,ADJ
analyse,analysis,分析,NOUN
analyser,to analyze,分析,VERB
ange,angel,天使,NOUN
animation,liveliness,活力,NOUN
animé,lively,热闹的,ADJ
anneau,ring,环,NOUN
annoncer,to announce,宣布,VERB
annuler,to cancel,取消,VERB
apparaître,to appear,出现,VERB
appareil,device,设备,NOUN
appartenir,to belong,属于,VERB
appliquer,to apply,应用,VERB
approcher,to approach,接近,VERB
apprécier,to appreciate,欣赏,VERB
appuyer,to press,按,VERB
appétit,appetite,食欲,NOUN
après que,after,在……之后,SCONJ
arc-en-ciel,rainbow,彩虹,NOUN
armé,armed,武装的,ADJ
arracher,to tear out,拔除,VERB
arrondissement,district,区,NOUN
artichaut,artichoke,朝鲜蓟,NOUN
artistique,artistic,艺术的,ADJ
assister,to attend,参加,VERB
associer,to associate,联系,VERB
assurance,insurance,保险,NOUN
assurer,to ensure,确保,VERB
astuce,trick,窍门,NOUN
atelier,workshop,工作室,NOUN
athlète,athlete,运动员,NOUN
attaquer,to attack,攻击,VERB
atteindre,to reach,达到,VERB
attente,wait,等待,NOUN
attirer,to attract,吸引,VERB
augmenter,to increase,增加,VERB
autoriser,to authorize,授权,VERB
autorité,authority,权威,NOUN
autoroute,highway,高速公路,NOUN
avant que,before,在……之前,SCONJ
avantage,advantage,优势,NOUN
averse,rain shower,阵雨,NOUN
avertir,to warn,警告,VERB
aveugle,blind,盲的,ADJ
bac,school leaving exam,高中毕业会考,NOUN
bailler,to yawn,打哈欠,VERB
baisser,to lower,降低,VERB
bal,ball,舞会,NOUN
balance,scales,秤,NOUN
banlieue,suburbs,郊区,NOUN
baser,to base,基于,VERB
batterie,battery,电池,NOUN
bavard,talkative,健谈的,ADJ
bavarder,to chat,聊天,VERB
bien que,although,虽然,SCONJ
bien-être,well-being,幸福,NOUN
bio,organic,有机的,ADJ
blesser,to injure,伤害,VERB
blessure,injury,伤口,NOUN
bloquer,to block,阻塞,VERB
bombe,bomb,炸弹,NOUN
bosse,bump,肿块,NOUN
bouclé,curly,卷曲的,ADJ
