csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
18,برد,cold,寒冷,NOUN,ar,A1,1,keep,clean
31,بنت,girl/daughter,女孩/女儿,NOUN,ar,A1,2,keep,clean
102,حلو,sweet,甜的,ADJ,ar,A1,3,keep,clean
169,رَمْل,sand,沙子,NOUN,ar,A1,4,keep,clean
181,سَهْل,easy,容易的,ADJ,ar,A1,5,keep,clean
196,سفر,travel,旅行,NOUN,ar,A1,6,keep,clean
202,سلام,hello/peace,你好/和平,NOUN,ar,A1,7,keep,clean
203,سلسلة,necklace/chain,项链/链,NOUN,ar,A1,8,keep,clean
251,صرف,exchange (money),兑换,NOUN,ar,A1,9,keep,clean
265,سقط,fall,掉落,VERB,ar,A1,10,keep,clean
267,قبعة,cap,帽子,NOUN,ar,A1,11,keep,clean
335,فراولة,strawberry,草莓,NOUN,ar,A1,12,keep,clean
350,قَانُون,law,法律,NOUN,ar,A1,13,keep,clean
360,قَمَر,moon,月亮,NOUN,ar,A1,14,keep,clean
404,محامي,lawyer,律师,NOUN,ar,A1,15,keep,clean
411,مدير,director,主任,NOUN,ar,A1,16,keep,clean
418,مَرِيض,sick,生病的,ADJ,ar,A1,17,keep,clean
426,مَاعِز,goat,山羊,NOUN,ar,A1,18,keep,clean
432,مَكْرُونَة,pasta,意大利面,NOUN,ar,A1,19,keep,clean
439,مَلِك,king,国王,NOUN,ar,A1,20,keep,clean
463,نهار,day,白天,NOUN,ar,A1,21,keep,clean
478,هي,she,她,PRON,ar,A1,22,keep,clean
498,جائع,hungry,饥饿的,ADJ,ar,A1,23,keep,clean
28,تسوق,to shop for groceries,买菜,VERB,ar,A2,1,keep,clean
50,قرفة,cinnamon,肉桂,NOUN,ar,A2,2,keep,clean
56,تمر,dates,椰枣,NOUN,ar,A2,3,keep,clean
75,نقانق,sausage,香肠,NOUN,ar,A2,4,keep,clean
76,كفتة,minced meat,肉末,NOUN,ar,A2,5,keep,clean
82,سلق,to boil,煮,VERB,ar,A2,6,keep,clean
84,خلط,to mix,混合,VERB,ar,A2,7,keep,clean
147,شمعة,candle,蜡烛,NOUN,ar,A2,8,keep,clean
161,فخذ,thigh,大腿,NOUN,ar,A2,9,keep,clean
189,حرارة,heat,热量,NOUN,ar,A2,10,keep,clean
205,شاحنة,truck,卡车,NOUN,ar,A2,11,keep,clean
206,مدخل,entrance,入口,NOUN,ar,A2,12,keep,clean
210,يسار,left,左,NOUN,ar,A2,13,keep,clean
